ci,nombre,apellido,pais_origen,fecha_nacimiento,experiencia,rol,asignado
21336623,Trix,Cadd,3,2002-01-09,8,1,False
54670053,Francyne,Lamp,2,1996-08-10,1,1,False
48921792,Dasie,MacKissack,3,1991-04-15,8,1,False
40101195,Philomena,Nevins,2,1999-08-04,6,1,False
46014923,Lockwood,Poulett,3,1991-01-01,4,1,False
30541217,Phylys,Geale,1,1991-11-20,9,1,False
13946568,Gill,Baff,3,1998-01-20,1,1,False
42907691,Killy,Snowdon,2,2000-01-24,8,1,False
36465805,Flem,Jeckell,1,1993-03-23,1,1,False
52809762,Byrom,Sabathe,1,1992-10-26,10,1,False
37514620,Myles,Heine,1,1990-09-11,1,1,False
53010048,Vilhelmina,Headech,4,1994-12-21,9,1,False
49215334,Marcie,Ismirnioglou,3,1991-11-04,6,1,False
11804892,My,Marfell,1,2000-07-20,8,1,False
30653966,Steffie,Guillem,4,2001-12-15,9,1,False
31439804,Gayler,Duncan,4,1991-06-01,4,1,False
50668400,Aurelie,Viollet,3,1994-05-07,10,1,False
17856040,Carmine,Vineall,4,2001-10-13,10,1,False
