ci,nombre,apellido,pais_origen,fecha_nacimiento,experiencia,rol,asignado
27992078,Adelbert,Waggatt,1,1998-02-08,1,4,False
13667595,Carilyn,Insall,3,1997-05-04,3,4,False
32015942,Ardath,Cantu,3,1990-02-23,9,4,False
18759418,Porty,Cradock,2,1997-09-15,6,4,False
29883802,Yorke,Bend,2,1998-04-05,8,4,False
37615316,Pru,Seddon,3,1994-02-24,8,4,False
29898144,Trixie,Matterson,4,2002-01-02,6,4,False
34737421,Verla,Vardie,3,1998-01-02,4,4,False
34755624,Bevvy,Wethered,4,1995-05-13,10,4,False
19279625,Merilee,Bateman,1,2001-04-07,3,4,False
37392764,Courtnay,Arent,4,1995-02-02,3,4,False
23589912,Skylar,Steward,4,2000-10-15,8,4,False
26453229,Adel,Wornum,3,1999-04-24,7,4,False
16620988,Yancey,D'Ambrogi,1,2001-01-13,7,4,False
45658930,Rycca,Order,1,1993-11-01,2,4,False
44597029,Raffarty,Drury,4,1993-04-13,9,4,False
12985678,Tris,McGirr,3,1998-03-04,2,4,False
16904247,Ortensia,Arnaldo,4,1990-01-27,6,4,False
43083353,Felice,Christmas,2,1990-08-07,1,4,False
16756866,Bobbi,Endricci,3,1999-10-01,9,4,False
27741921,Horace,Suddards,4,1999-09-01,10,4,False
15723792,Kiersten,Jaszczak,1,1990-01-07,1,4,False
